obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
1898.142,6.062075,1863.691,170.2471
1906.183,6.090963,1871.395,171.6743
1911.823,6.106519,1875.167,172.3773
1917.82,6.140815,1882.909,173.8196
1923.971,6.157482,1886.754,174.542
1930.135,6.190815,1894.478,175.9937
1935.052,6.216371,1898.344,176.7253
1940.244,6.238593,1905.82,178.1447
1947.156,6.251926,1909.428,178.8323
1954.057,6.279704,1917.2,180.3134
1958.456,6.287482,1921.133,181.068
